"","SP_ID","IDPROV","IDDPTO","NOMBDEP","NOMBPROV","SUP_INSULA","SUP_LACUST","SUP_INS_D","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamient","electrific","poblacion","costa","capital","tamano","fecundidad","desnutrici","densidadpo","mortalidad","analfa","analfa1","analfa2","analfa3","analfa4","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"65","85","0905","09","HUANCAVELICA","CHURCAMPA",0,0,0,0.180170148,70.01,34.34381866,4.685073996,107.7526922,0.5615,97.9364,3.7926,75.4469,25.9138,75.1098,45172,"NO","NO",1,3.45,57.710753,36.43,28.8,25.06,11.23,29.85,12.47,36.9,44903,10183,34720,22144,22759,6406,6758
"66","84","0904","09","HUANCAVELICA","CASTROVIRREYNA",0,0,0,0.232990423,70.36,42.76740186,6.994531477,139.2614798,0.5652,98.0852,4.7333,99.5,20.8772,56.2698,19500,"NO","NO",1,2.49,49.199297,4.89,27.5,12.07,5.9,15.3,4.06,21.14,19500,6128,13372,10216,9284,3656,5616
"67","87","0907","09","HUANCAVELICA","TAYACAJA",0,0,0,0.18778678,71.16,37.82975178,4.795077568,110.1139857,0.5827,97.2705,4.6864,77.79,28.8652,79.6273,107715,"NO","NO",3,3.11,55.101324,31.12,24.8,21.14,13.05,24,10.7,31.11,104901,25677,79224,52038,52863,21611,14372
"68","86","0906","09","HUANCAVELICA","HUAYTARA",0,0,0,0.227282655,72.1,38.00363711,6.499570215,138.9557863,0.5709,97.4424,6.9062,93.0713,24.043,59.383,23361,"NO","NO",1,2.84,54.06438,3.6,21.7,13.47,7.38,16.01,5.51,22.45,23274,6752,16522,12257,11017,3614,6578
"69","81","0901","09","HUANCAVELICA","HUANCAVELICA",0,0,0,0.247550377,68.37,47.01915936,6.457328784,166.7370162,0.6477,98.9226,8.4463,83.9779,40.4136,86.4489,153773,"NO","SI",3,2.91,54.014461,33.86,34.9,17.42,8.48,24.9,8.24,25.74,142723,59851,82872,69600,73123,38509,20649
"70","83","0903","09","HUANCAVELICA","ANGARAES",0,0,0,0.190047552,69.31,41.37623523,4.610815058,115.058199,0.5913,98.439,3.004,76.8243,36.9268,78.4647,60816,"NO","NO",2,3.53,58.420091,28.43,31.4,25.68,15.51,30.42,13.26,36.96,55704,16086,39618,27252,28452,12068,9202
"71","82","0902","09","HUANCAVELICA","ACOBAMBA",0,0,0,0.191121268,71.43,36.69991793,4.670571496,116.6439457,0.5771,98.7516,2.6282,77.5408,31.1721,76.7208,73243,"NO","NO",2,2.63,55.162966,70.04,23.9,22,13.81,25.92,10.36,32.82,63792,19345,44447,31399,32393,9303,8726
"72","52","0510","05","AYACUCHO","VICTOR FAJARDO",0,0,0,0.214680238,72.19,26.89616561,5.223345082,156.7777784,0.6156,99.1369,8.7686,77.8064,46.8821,69.3787,24213,"NO","NO",1,3.74,41.280958,11.24,21.4,22.55,20.14,29.67,6.96,36.57,25412,18904,6508,12316,13096,5070,3701
"73","137","1510","15","LIMA","YAUYOS",0,0,0,0.292004737,70.17,58.68951628,8.504178248,189.8741388,0.6657,98.4199,14.4953,83.6558,52.3377,74.2986,27842,"NO","NO",1,4.28,40.040523,3.98,28.2,5.01,3.97,6.35,1.43,9.52,27501,15727,11774,14983,12518,5383,8211
"74","18","0211","02","ANCASH","HUARMEY",0,0,0,0.392569166,74.84,63.44189809,8.874695641,354.3308697,0.7574,98.0051,13.3628,95.5122,75.2566,87.6444,29972,"SI","NO",1,2.22,14.349451,7.12,13.6,4.09,2.93,7.86,2.25,6.08,27820,21100,6720,14476,13344,6384,10774
"75","17","0210","02","ANCASH","HUARI",0,0,0,0.250368522,71.13,44.13195568,5.80781931,177.573042,0.6746,97.3123,14.087,76.3536,60.0936,80.0751,63726,"NO","NO",2,3.35,46.115754,22.58,24.9,20.08,11.25,25.1,9.02,31.97,62598,22313,40285,32135,30463,18504,12582
"76","20","0213","02","ANCASH","MARISCAL LUZURIAGA",0,0,0,0.216006188,70.67,33.54673278,4.514299684,163.8919821,0.5188,96.6549,5.202,69.084,31.2854,53.7286,23888,"NO","NO",1,3.92,48.9683,31.88,26.4,31.83,11.29,35.1,19.36,43.41,23292,2871,20421,11416,11876,6481,2584
"77","19","0212","02","ANCASH","HUAYLAS",0,0,0,0.258717927,72.89,28.13403238,5.3691707,236.1163723,0.6615,97.3926,14.3251,63.7338,69.345,76.4138,56102,"NO","NO",2,3.15,41.521129,23.43,19.1,21.38,7.86,28.87,11.22,30.92,53729,17538,36191,26491,27238,8295,18991
"78","22","0215","02","ANCASH","PALLASCA",0,0,0,0.242893298,67.68,40.37949224,5.805062376,182.14634,0.6122,94.5362,9.7786,75.6362,44.66,74.9557,30536,"NO","NO",1,3.53,43.79887,14.02,37.6,14.47,12.56,16.68,6.01,23.08,29454,15229,14225,14886,14568,6354,3996
"79","21","0214","02","ANCASH","OCROS",0,0,0,0.304621401,75.09,52.63058879,6.936655598,226.2860097,0.6367,97.9574,7.4294,93.4748,42.7468,71.765,10283,"NO","NO",1,3,30.741176,4.73,12.9,6.11,5.29,7.28,2.42,10.17,9196,5301,3895,4788,4408,1113,2773
"80","24","0217","02","ANCASH","RECUAY",0,0,0,0.297700503,70.61,54.32277369,6.941812535,227.9042917,0.711,97.7199,10.2591,90.2889,73.4154,76.9919,19509,"NO","NO",1,2.67,33.766586,8.29,26.6,11.3,9.54,13.69,3.81,18.23,19102,10860,8242,9320,9782,6329,5110
"81","23","0216","02","ANCASH","POMABAMBA",0,0,0,0.234069844,73.43,30.0410742,4.719719744,192.5817655,0.5789,96.6389,14.5264,63.921,49.764,54.9378,29196,"NO","NO",1,3.72,50.016149,30.58,17.5,32.97,11.33,39.95,19.29,45.16,27954,6142,21812,13502,14452,6251,4549
"82","26","0219","02","ANCASH","SIHUAS",0,0,0,0.232198961,70.92,34.72188143,4.924495509,180.8813269,0.6091,96.7049,12.0564,69.5418,43.0137,75.1775,31006,"NO","NO",1,3.72,49.083448,21.09,25.6,24.24,10.3,29.72,11.94,35.82,30700,7977,22723,15106,15594,7480,4953
"83","25","0218","02","ANCASH","SANTA",0,0,0,0.44098901,75.09,68.93913952,9.598979711,446.5217446,0.8245,98.0871,19.7013,96.4346,88.6281,96.2817,427157,"SI","NO",4,2.09,9.8233702,98.75,12.9,4.32,3.77,12.86,2.1,6.51,396434,370476,25958,197865,198569,128845,126027
"84","92","1005","10","HUANUCO","HUAMALIES",0,0,0,0.214496802,71.71,26.25679635,5.006413443,163.3318089,0.5598,94.9934,11.3609,75.2894,41.526,49.1445,73621,"NO","NO",2,2.79,43.695277,21.13,23,16.13,11.77,17.91,8.58,23.8,66450,18696,47754,33686,32764,14491,7856
"85","91","1004","10","HUANUCO","HUACAYBAMBA",0,0,0,0.185937963,70.46,16.06902507,4.422584387,156.4024982,0.5826,96.5215,6.5479,66.9303,53.1725,63.7385,22403,"NO","NO",1,3.43,43.694486,11.7,27.1,23.78,9.57,27.29,10.95,36.23,20408,3704,16704,10201,10207,4393,2153
"86","90","1003","10","HUANUCO","DOS DE MAYO",0,0,0,0.214606747,67.99,26.98813452,5.182401825,169.114576,0.5822,96.8027,13.0303,74.0063,49.4522,49.1357,52025,"NO","NO",2,3.9,44.239301,32.67,36.3,16.41,9.93,20.2,8.07,24.34,47008,16433,30575,23313,23695,9616,5481
"87","89","1002","10","HUANUCO","AMBO",0,0,0,0.237416523,72.83,34.92476852,4.583533016,193.1538723,0.5594,97.9204,11.1829,74.8834,25.5836,62.6859,57957,"NO","NO",2,3.31,44.291241,35.09,19.3,21.11,12.99,25.55,10.73,31.35,55483,18453,37030,27878,27605,11506,14409
"88","88","1001","10","HUANUCO","HUANUCO",0,0,0,0.330819434,72.25,49.6760252,7.207414278,295.5645523,0.7179,97.4669,21.9022,84.4585,65.5353,74.9612,301396,"NO","SI",4,2.83,44.626331,67.18,21.2,16.08,6.07,33.65,9.98,21.77,270233,163235,106998,133057,137176,68747,69290
"89","43","0501","05","AYACUCHO","HUAMANGA",0,0,0,0.327921277,70.88,54.34098709,8.035711603,267.6970922,0.7591,99.4419,19.1627,83.5629,74.3072,90.3163,261382,"NO","SI",3,2.77,41.332593,74.26,25.7,12.71,7.61,28.35,5.7,19.11,221390,161636,59754,108027,113363,69225,58896
"90","153","1902","19","PASCO","DANIEL ALCIDES CARRION",0,0,0,0.271150395,69.93,74.98793073,7.293104577,156.843407,0.6271,99.5,4.6297,95.0075,41.9339,69.4167,51789,"NO","NO",2,2.42,43.00097,25.33,29.1,11.99,11.7,12.45,6.3,17.57,47803,27967,19836,24029,23774,9713,4876
"91","154","1903","19","PASCO","OXAPAMPA",0,0,0,0.273068187,71.64,37.56274255,6.784234417,212.8235387,0.5744,94.7617,12.5667,65.4202,42.7355,63.3166,89543,"NO","NO",2,3.28,40.506873,4.39,23.2,10.14,4.68,13.9,6.48,14.41,81929,30805,51124,43328,38601,10564,26409
"92","152","1901","19","PASCO","PASCO",0,0,0,0.346992973,72.8,71.62752696,9.06947204,248.478959,0.7169,99.5,10.7282,94.3146,58.5859,88.1771,156259,"NO","SI",3,2.35,38.862711,31.67,19.4,6.2,4.83,10.66,2.67,9.87,150717,114821,35896,76788,73929,42498,29741
"93","51","0509","05","AYACUCHO","SUCRE",0,0,0,0.240582237,70.09,46.92580042,6.138474109,155.6280856,0.6307,99.2637,12.7053,86.8535,38.4042,69.6481,12255,"NO","NO",1,2.78,40.874325,7.05,28.5,18.57,14.57,24.69,7.21,29.09,12595,7694,4901,6216,6379,1986,2250
"94","176","2201","22","SAN MARTIN","MOYOBAMBA",0,0,0,0.284961261,73.07,40.91092625,6.87659829,221.1614011,0.6832,95.7572,9.9368,83.2734,72.5388,73.4589,136414,"NO","SI",3,2.79,23.284347,30.59,18.5,8.97,5.61,14.63,5.11,13.18,115389,68406,46983,59829,55560,24811,36127
"95","177","2202","22","SAN MARTIN","BELLAVISTA",0,0,0,0.269225459,70.33,29.9866656,6.349095536,240.4226789,0.6256,94.1988,7.979,76.7049,59.9836,68.6068,55815,"NO","NO",2,3.07,25.695764,6.12,27.6,8.35,5.76,11.85,4.78,12.66,49293,27181,22112,26361,22932,10719,14054
"96","178","2203","22","SAN MARTIN","EL DORADO",0,0,0,0.209755729,70.67,25.49608237,5.325047723,153.7964886,0.6066,96.8349,7.7403,66.9119,68.0806,58.5684,38152,"NO","NO",1,3.34,29.618165,25.91,26.4,12.71,8.58,15.56,7.5,18.95,33638,13087,20551,17914,15724,7285,9348
"97","179","2204","22","SAN MARTIN","HUALLAGA",0,0,0,0.25657742,74.69,28.84085577,6.577244197,196.4008656,0.66,96.7308,11.4771,78.1732,74.7704,61.2204,25357,"NO","NO",1,2.62,24.172389,10.27,14,7.05,3.99,11.3,4.29,10.24,24448,13281,11167,12916,11532,6699,7628
"98","180","2205","22","SAN MARTIN","LAMAS",0,0,0,0.239362558,72.25,31.1729661,5.571358296,184.1905196,0.6051,96.557,6.3469,72.5867,61.5244,61.297,83825,"NO","NO",2,2.74,26.881291,15.69,21.2,12.46,8.64,16.38,6.73,19.01,79075,37822,41253,41489,37586,17134,24370
"99","181","2206","22","SAN MARTIN","MARISCAL CACERES",0,0,0,0.300760721,71.92,36.7506004,7.171029772,265.0152848,0.6922,96.0263,9.981,85.2023,75.5526,72.7025,51489,"NO","NO",2,2.53,22.329468,3.51,22.3,6.19,4.2,9.75,4.11,8.61,50884,31626,19258,27048,23836,14498,15278
"100","182","2207","22","SAN MARTIN","PICOTA",0,0,0,0.28702815,72.34,37.55366358,6.553165676,243.3722774,0.6884,96.1658,7.8023,82.3184,73.9773,78.7176,42369,"NO","NO",1,2.84,24.531336,17.37,20.9,6.8,4.28,11.39,4.07,9.98,37721,23482,14239,20001,17720,9036,13153
"101","183","2208","22","SAN MARTIN","RIOJA",0,0,0,0.285143392,73.94,39.77831125,6.472313214,228.6641219,0.6672,95.4084,10.3815,83.083,58.2882,79.4966,120387,"NO","NO",3,2.89,24.325982,41.37,16.1,9.35,7.52,14.48,5.16,13.93,104882,75251,29631,54292,50590,23354,38952
"102","184","2209","22","SAN MARTIN","SAN MARTIN",0,0,0,0.380654237,72.28,61.60457589,8.949453666,344.8018226,0.8285,98.3258,21.3298,99.5,85.3935,95.5041,179184,"NO","NO",3,2.06,20.462078,28.57,21.1,3.45,2.86,10.12,2.1,4.85,161132,146109,15023,82159,78973,50811,49374
"103","45","0503","05","AYACUCHO","HUANCA SANCOS",0,0,0,0.22747975,70.52,32.05151605,5.887574853,160.9160731,0.5723,99.5,10.4056,85.4506,26.8577,56.9772,10472,"NO","NO",1,3.32,40.549598,3.71,26.9,18.33,14.7,25.57,5.02,30.35,10620,7168,3452,5153,5467,2373,1904
"104","44","0502","05","AYACUCHO","CANGALLO",0,0,0,0.193362985,71.89,24.42286804,4.343152448,144.0354224,0.5701,99.5,10.6072,70.7635,45.1408,51.9452,34298,"NO","NO",1,2.21,41.666833,18.21,22.4,26.72,20.89,29.92,11.08,40.12,34902,12169,22733,16724,18178,7955,5621
"105","47","0505","05","AYACUCHO","LA MAR",0,0,0,0.193867012,71.74,22.78934695,4.3566375,148.8242694,0.4946,98.2364,5.9239,61.5692,30.5293,47.0695,87160,"NO","NO",2,3.28,42.306407,19.17,22.9,24.06,19.03,27.75,13.88,34.91,84177,34385,49792,43439,40738,8599,16867
"106","46","0504","05","AYACUCHO","HUANTA",0,0,0,0.243352788,71.16,36.63575614,5.226091521,190.3114463,0.5971,98.3271,7.8265,72.0394,50.3193,64.8231,102619,"NO","NO",3,2.79,42.002134,24.07,24.8,21,12.48,28.59,10.25,31.25,93360,42816,50544,46378,46982,14274,21146
"107","49","0507","05","AYACUCHO","PARINACOCHAS",0,0,0,0.273954176,66.29,50.20201736,6.644710318,212.9535863,0.6471,99.4064,13.4073,83.9144,43.3083,74.5507,32023,"NO","NO",1,2.68,41.820746,5.03,43.4,17.28,10.25,26.92,9.02,25.6,30007,17340,12667,15122,14885,5091,5310
"108","48","0506","05","AYACUCHO","LUCANAS",0,0,0,0.274617445,71.01,54.97173098,6.566692926,189.9766196,0.6193,99.1895,10.0509,91.0306,36.7625,65.8977,67167,"NO","NO",2,3.45,41.277724,4.51,25.3,15.7,13.64,18.68,7.45,24.38,65414,38396,27018,33680,31734,8749,13174
"109","129","1502","15","LIMA","BARRANCA",0,0,0,0.401756352,76.24,66.61066817,8.680785617,364.4583909,0.8118,99.295,21.4062,83.9918,96.9944,89.9645,143216,"SI","NO",3,2.57,12.801658,98.76,10.1,5.77,4.77,11.74,2.77,8.77,133904,114260,19644,67138,66766,31769,51903
"110","130","1503","15","LIMA","CAJATAMBO",0,0,0,0.278975638,70.92,43.99102818,7.32306059,204.0586306,0.6624,97.773,16.2382,78.1014,51.6375,76.623,8139,"NO","NO",1,6.38,34.031646,5.52,25.6,10.07,10.7,9.1,2.95,17.67,8358,5049,3309,4288,4070,927,2240
"111","128","1501","15","LIMA","LIMA",0.86,0,0,0.500885223,75.86,77.77878762,10.7673,556.4218352,0.8999,99.3591,38.3657,89.5797,97.5604,99.5,8481415,"SI","SI",5,2.35,5.8414796,2846.16,10.9,1.83,1.82,6.87,0.71,2.86,7605742,7596058,9684,3713471,3892271,2913776,2768452
"112","133","1506","15","LIMA","HUARAL",0,0,0,0.390898514,75.91,68.36430891,8.580129314,338.7159531,0.777,99.0524,17.7469,84.0086,85.1771,90.6684,182409,"SI","NO",3,2.83,15.858376,45.04,10.8,5.55,4.96,8.31,2.66,8.49,164660,136487,28173,83461,81199,39152,71565
"113","134","1507","15","LIMA","HUAROCHIRI",0,0,0,0.360651459,71.37,70.92929887,9.090625712,282.9380017,0.7134,99.0322,16.2867,81.9827,73.6597,74.8972,79177,"NO","NO",2,3.12,27.154327,12.87,24.1,3.05,2.84,3.48,1.13,5.27,72845,49334,23511,38437,34408,22870,36719
"114","131","1504","15","LIMA","CANTA",0,0,0,0.32449897,74.08,46.93486985,7.985573602,262.7246078,0.6628,98.6936,29.0179,76.8965,39.9944,67.4349,14669,"NO","NO",1,3.69,20.477444,8.01,15.7,5.35,3.49,7.12,2.58,8.52,13513,6454,7059,7081,6432,3195,5557
"115","132","1505","15","LIMA",NA,0,0,0,0.374956666,75.76,46.69454164,9.437704167,341.4922479,0.7697,99.5034,16.3725,86.2599,86.3501,85.4381,222877,"SI","NO",3,3.02,18.942219,43.84,11.1,3.87,3.45,6.03,1.74,5.98,200662,168584,32078,100524,100138,55002,83310
"116","172","2110","21","PUNO","SAN ANTONIO DE PUTINA",0,0,0,0.275785193,66.91,62.15487797,6.398664331,199.9886457,0.5691,98.8164,2.64,88.4295,29.5768,63.3287,62247,"NO","NO",2,3.23,39.402547,15.74,40.8,11.69,7.21,20.93,6.2,18.17,50490,33665,16825,26862,23628,6238,8017
"117","173","2111","21","PUNO","SAN ROMAN",0,0,0,0.373834237,70.64,80.41288822,9.11363068,298.0719763,0.7813,99.0267,15.507,94.0194,72.2405,99.5,276352,"NO","NO",3,2.48,20.946029,105.71,26.5,5.8,4.53,20.07,1.88,9.45,240776,220610,20166,118151,122625,90004,63291
"118","174","2112","21","PUNO","SANDIA",0,0,0,0.244706867,68.26,53.10611118,6.068897204,160.3817143,0.6152,98.5936,6.4219,84.2576,50.2309,63.8324,68253,"NO","NO",2,3.29,36.921322,5.24,35.3,12.23,9.61,13.16,6.13,19.6,62147,16543,45604,33265,28882,9099,14908
"119","175","2113","21","PUNO","YUNGUYO",0,0,0,0.260051887,71.37,62.80766225,5.589762117,172.0070727,0.6807,98.3785,6.8712,87.114,52.7099,90.6861,48179,"NO","NO",1,2.89,19.578919,163.33,24.1,19.15,10.26,24.26,8.34,29.47,47400,17343,30057,23321,24079,10938,6304
"120","135","1508","15","LIMA","HUAURA",0.36,0,0,0.413680228,74.69,72.25012044,9.626688913,368.9099163,0.7884,99.4633,22.032,84.1302,85.147,88.7237,213188,"SI","NO",3,2.74,17.849094,40.34,14,4.13,3.37,9.13,1.9,6.37,197384,170562,26822,99472,97912,52891,78086
"121","136","1509","15","LIMA","OYON",0,0,0,0.338764031,71.89,57.48603058,8.349202904,273.1489147,0.7104,99.0082,9.4051,77.9139,77.8538,84.76,22217,"NO","NO",1,4.58,24.277411,10.94,22.4,7.18,6.67,8,1.89,13.23,20642,13308,7334,10831,9811,2816,6051
"122","75","0808","08","CUSCO","ESPINAR",0,0,0,0.275893519,69.52,50.58120403,5.994789867,215.4812122,0.6109,98.7317,8.9812,88.4132,45.8511,57.4631,68390,"NO","NO",2,2.66,47.064597,11.81,30.6,14.43,7.11,20.47,5.77,22.93,62698,28305,34393,31489,31209,19277,9671
"123","76","0809","08","CUSCO","LA CONVENCION",0,0,0,0.272757466,73.22,38.98886343,6.556942131,207.2189201,0.6069,96.3227,9.2718,84.7681,40.9197,66.0037,179515,"NO","NO",3,3.83,31.936549,5.55,18.1,13.65,6.74,16.76,8.25,19.94,166833,49892,116941,88181,78652,40835,43930
"124","71","0804","08","CUSCO","CALCA",0,0,0,0.25272728,71.55,40.19135508,5.53187249,192.8044732,0.6321,96.954,6.3367,77.724,52.6436,78.1668,72583,"NO","NO",2,3.04,41.932087,14.82,23.5,22.1,8.21,30.44,12.5,31.69,65407,23117,42290,32940,32467,20025,12974
"125","72","0805","08","CUSCO","CANAS",0,0,0,0.209772433,65.89,39.93191502,4.888893375,148.2867069,0.568,98.3403,5.3289,84.5397,34.0964,58.153,39973,"NO","NO",1,3.46,64.157638,18.2,45.1,20.65,11.59,22.53,8.07,32.68,38293,6156,32137,19170,19123,15404,3103
"126","73","0806","08","CUSCO","CANCHIS",0,0,0,0.29878139,70.14,58.41049652,6.732154136,229.0205144,0.7344,97.838,10.8021,92.7148,70.1059,88.5203,102826,"NO","NO",3,2.36,41.923469,24.24,28.3,16.45,9.09,27.65,6.53,25.3,96937,58355,38582,47071,49866,39626,13134
"127","74","0807","08","CUSCO","CHUMBIVILCAS",0,0,0,0.18895927,69.44,30.54674037,4.365222524,130.5868046,0.5329,97.8608,6.0491,76.0087,39.4397,43.0746,81878,"NO","NO",2,3.81,49.838411,14.07,30.9,25.96,14,29.83,11.78,40.13,75585,17505,58080,38166,37419,21153,6085
"128","68","0801","08","CUSCO","CUSCO",0,0,0,0.447770954,74.12,72.41241098,11.07600986,428.0380881,0.8762,97.8854,30.5147,99.5,90.3696,99.5,427580,"NO","SI",4,1.66,20.697917,596.1,15.6,3.86,3.29,18.56,1.34,6.12,367791,351780,16011,177553,190238,164170,79577
"129","69","0802","08","CUSCO","ACOMAYO",0,0,0,0.209077638,66.15,41.63204771,4.716717417,147.3321835,0.6331,97.199,10.4537,83.1267,48.2393,70.5703,28318,"NO","NO",1,3.94,63.590854,28.85,44,25.25,21.98,29.12,9.14,40.32,27357,14460,12897,13514,13843,8111,3465
